Date,Sector,Universe Gross Sales EUR M,Universe Net Sales EUR M
01/01/2010,Sector_0,24.79833092,-11.85106039
01/01/2010,Sector_1,132.8814291,0.81428505
01/01/2010,Sector_2,104.5646476,44.89978244
01/01/2010,Sector_3,37.22657642,35.12529289
01/01/2010,Sector_4,0.02795946,-0.04813781
01/01/2010,Sector_5,9.03598207,-0.23544848
01/01/2010,Sector_6,2.53556001,-0.21042254
01/01/2010,Sector_7,106.358663,93.90512434
01/01/2010,Sector_8,122.4867369,58.40300673
01/01/2010,Sector_9,28.01816114,17.91531193
01/01/2010,Sector_10,1.58779632,-0.14454874
01/01/2010,Sector_11,0.16222318,0.15477522
01/01/2010,Sector_12,15.86093316,-91.97354412
01/01/2010,Sector_13,0,156.8262972
01/01/2010,Sector_14,0.26425537,-0.11153383
01/01/2010,Sector_15,0.05419882,0.01582624
01/01/2010,Sector_16,365.4380689,-63.77500025
01/01/2010,Sector_17,248.2295378,100.7976156
01/01/2010,Sector_18,1113.165666,425.8994848
01/01/2010,Sector_19,57.50381053,10.11506611
01/01/2010,Sector_20,1276.307098,765.8409951
01/01/2010,Sector_21,1164.18567,683.8570978
01/01/2010,Sector_22,616.9858909,508.4578298
01/01/2010,Sector_23,0.36132302,-1.07889738
01/01/2010,Sector_24,61.30865777,8.80762202
01/01/2010,Sector_25,334.2596062,168.5772467
01/01/2010,Sector_26,0.09402938,-4.4846577
01/01/2010,Sector_27,741.473468,373.0407723
01/01/2010,Sector_28,42.0993157,-6.6874633
01/01/2010,Sector_29,5.67157568,-21.79576037
01/01/2010,Sector_31,199.03996,165.5279674
01/01/2010,Sector_32,1925.747184,1361.808218
01/01/2010,Sector_33,1201.572757,599.8336564
01/01/2010,Sector_34,1.62365901,1.18708592
01/01/2010,Sector_35,0.23403609,0.02959375
01/01/2010,Sector_38,122.8578056,46.15122638
01/01/2010,Sector_39,1.74840291,-6.9613293
01/01/2010,Sector_40,5.81594405,3.15284322
01/01/2010,Sector_41,77.61146337,47.26083786
01/01/2010,Sector_42,4.3195773,3.65475063
01/01/2010,Sector_46,1.99241966,-0.01343131
01/01/2010,Sector_47,4.90160409,3.77927922
01/01/2010,Sector_49,0.19002743,0.00329618
01/01/2010,Sector_50,0.1111248,-0.160617
01/01/2010,Sector_51,0,-0.00138963
01/01/2010,Sector_53,0.58319567,-14.79295955
01/01/2010,Sector_54,0.11580687,-0.534162
01/01/2010,Sector_55,479.7126244,105.4193948
01/01/2010,Sector_56,637.5200417,424.9849078
01/01/2010,Sector_57,25.53710432,-25.67144077
01/01/2010,Sector_59,157.0109869,110.3449775
01/01/2010,Sector_61,505.4356836,281.4830549
01/01/2010,Sector_62,851.8281753,374.3481764
01/01/2010,Sector_63,12.67437462,11.17473443
01/01/2010,Sector_64,11.07510432,8.2252351
01/01/2010,Sector_65,183.3592069,125.6670171
01/01/2010,Sector_66,195.7903488,-37.43305682
01/01/2010,Sector_67,0.09762433,-4.77570918
01/01/2010,Sector_68,68.25336143,-17.71242582
01/01/2010,Sector_70,502.841436,226.3541163
01/01/2010,Sector_71,0.20948766,-2.13678165
01/01/2010,Sector_72,0.18801526,0.18801526
01/01/2010,Sector_73,219.3590526,97.32864073
01/01/2010,Sector_75,405.7960482,-33.60588178
01/01/2010,Sector_76,628.0583804,-19.54895228
01/01/2010,Sector_77,0.10137939,-106.3270915
01/01/2010,Sector_79,0.28100894,0.2758243
01/01/2010,Sector_80,1258.48,261.910527
01/01/2010,Sector_81,73.7041518,30.22090563
01/01/2010,Sector_82,253.9378717,-220.4807853
01/01/2010,Sector_83,26.26295749,20.84486408
01/01/2010,Sector_84,1386.151399,297.2101655
01/01/2010,Sector_85,65.69927354,-32.85629103
01/01/2010,Sector_86,99.37304071,47.89827075
01/01/2010,Sector_87,253.0047858,63.96251335
01/01/2010,Sector_89,4.62380349,-6.14138142
01/01/2010,Sector_91,11.92328539,10.88452968
01/01/2010,Sector_92,6.48498767,0.71292687
01/01/2010,Sector_93,76.87677365,-30.76441651
01/01/2010,Sector_94,0.2070207,-2.86889855
01/01/2010,Sector_95,1029.105543,58.96537778
01/01/2010,Sector_96,95.62997358,39.99113383
01/01/2010,Sector_97,26.29203344,-19.22422172
01/01/2010,Sector_98,1.08763339,-1.57716597
01/01/2010,Sector_99,346.7919451,21.99345926
01/01/2010,Sector_100,0.0197,0.0197
01/01/2010,Sector_101,28.13486117,6.92854051
01/01/2010,Sector_102,445.4282372,30.36897098
01/01/2010,Sector_104,49.04147937,-3.67561436
01/01/2010,Sector_105,16.68366052,-15.88901475
01/01/2010,Sector_106,1.10220557,0.52082983
01/01/2010,Sector_107,677.2889437,398.4186677
01/01/2010,Sector_109,76.50655883,37.15481243
01/01/2010,Sector_110,106.3055257,36.2521808
01/01/2010,Sector_111,958.6224469,173.486765
01/01/2010,Sector_112,6.04229481,-1.21961962
01/01/2010,Sector_113,3.73877678,-5.55382602
01/01/2010,Sector_115,0.73860035,1.2615694
01/01/2010,Sector_116,6.35926196,-2.76364213
01/01/2010,Sector_117,0.55599153,-0.81632678
01/01/2010,Sector_118,1571.787113,354.4535735
01/01/2010,Sector_119,135.8792118,51.57106669
01/01/2010,Sector_120,5.50795919,2.52581743
01/01/2010,Sector_121,25.26546043,-34.14644477
01/01/2010,Sector_122,1457.786373,439.5811126
01/01/2010,Sector_123,40.67630168,11.40303465
01/01/2010,Sector_124,95.08454265,51.48210778
01/01/2010,Sector_125,0,-0.00603917
01/01/2010,Sector_128,267.9194874,57.15836173
01/01/2010,Sector_129,22.46313004,-49.77854418
01/01/2010,Sector_131,0,-0.127327
01/01/2010,Sector_132,4.70935276,-8.4240561
01/01/2010,Sector_133,1.07713741,0.98798236
01/01/2010,Sector_135,125.1557793,43.79496414
01/01/2010,Sector_136,63.11545983,24.9524507
01/01/2010,Sector_137,41.84432154,6.69396852
01/01/2010,Sector_138,9.22411891,-18.8921276
01/01/2010,Sector_139,189.0241796,134.5219805
01/01/2010,Sector_140,108.3616899,40.40477514
01/01/2010,Sector_141,64.4229843,-76.34609402
01/01/2010,Sector_142,11.79914962,201.4094261
01/01/2010,Sector_143,62.10675602,-89.26727258
01/01/2010,Sector_144,6.18519783,5.86191338
01/01/2010,Sector_145,142.7668674,88.20567815
01/01/2010,Sector_146,131.5335386,-24.54929459
01/01/2010,Sector_147,14.72604766,-64.93495697
01/01/2010,Sector_148,7.60674875,-47.17726448
01/01/2010,Sector_149,58.26908655,-30.64189809
01/01/2010,Sector_150,60.86518088,34.79343127
01/01/2010,Sector_151,411.517639,15.50519424
01/01/2010,Sector_152,1924.405529,225.2849686
01/01/2010,Sector_153,101.1330529,16.86659185
01/01/2010,Sector_154,176.3983166,-63.41353071
01/01/2010,Sector_155,3.31062865,1.76431895
01/01/2010,Sector_156,145.7900016,28.70262668
01/01/2010,Sector_157,4.68048675,-62.27113428
01/01/2010,Sector_158,4.00702451,-16.36965295
01/01/2010,Sector_159,39.48558065,-33.77068112
01/01/2010,Sector_160,29.13365705,22.23101321
01/01/2010,Sector_161,6.44014326,4.4569773
01/01/2010,Sector_162,22.78835361,5.96732903
01/01/2010,Sector_163,82.04450872,11.45288901
01/01/2010,Sector_164,2.17863437,-3.14442467
01/01/2010,Sector_165,0.0179863,0.0179863
01/01/2010,Sector_166,28.17159554,-14.0859542
01/01/2010,Sector_167,3.06331508,-0.58589169
01/01/2010,Sector_168,2126.08369,926.1120627
01/01/2010,Sector_169,150.8798921,39.57573475
01/01/2010,Sector_170,15.88713904,-5.47243198
01/01/2010,Sector_171,81.40562028,62.49064198
01/01/2010,Sector_174,43.02022486,8.54610383
01/01/2010,Sector_175,82.95496427,45.76173442
01/01/2010,Sector_176,40.41497241,13.66228488
01/02/2010,Sector_0,15.547699,-12.73589997
01/02/2010,Sector_1,191.0186129,20.49428485
01/02/2010,Sector_2,83.77362659,17.9936036
01/02/2010,Sector_3,29.75412061,12.04619097
01/02/2010,Sector_4,0.09916072,0.06749901
01/02/2010,Sector_5,7.89464151,-11.97641856
01/02/2010,Sector_6,1.9046653,-2.22026297
01/02/2010,Sector_7,73.40301413,28.30444416
01/02/2010,Sector_8,195.22642,126.5807183
01/02/2010,Sector_9,38.43536635,24.36801826
01/02/2010,Sector_10,2.99674619,2.28003438
01/02/2010,Sector_11,0.0452732,0.02354447
01/02/2010,Sector_12,56.86842998,33.77085576
01/02/2010,Sector_13,0,-39.36534203
01/02/2010,Sector_14,1.05324458,0.56217381
01/02/2010,Sector_15,0.08912055,-0.06955832
